Date,Open,High,Low,Close,Volume,Adj Close
2005-04-12,111.55,112.47,110.14,111.76,5921800,108.76
2005-04-11,113.45,113.81,111.92,112.09,3599100,109.08
2005-04-08,113.25,114.25,112.78,112.93,3801400,109.90
2005-04-07,112.50,113.93,112.20,113.53,4735900,110.48
2005-04-06,110.95,112.64,110.79,112.50,5276800,109.48
2005-04-05,110.95,111.90,110.45,110.59,4656300,107.62
2005-04-04,109.15,111.33,108.58,111.00,6114600,108.02
2005-04-01,110.74,111.06,108.31,109.30,5625700,106.37
2005-03-31,110.00,110.26,109.06,109.99,3790100,107.04
2005-03-30,108.19,109.90,108.19,109.80,4057300,106.85
2005-03-29,109.68,110.63,108.37,108.45,3836100,105.54
2005-03-28,108.95,109.99,108.55,109.68,2543200,106.74
2005-03-24,108.78,109.50,108.37,108.40,2915600,105.49
2005-03-23,107.60,108.92,107.50,108.06,4449100,105.16
2005-03-22,109.75,110.99,107.67,107.99,5687400,105.09
2005-03-21,110.10,110.84,109.60,109.60,3944600,106.66
2005-03-18,109.70,110.70,109.56,109.98,7553500,107.03
2005-03-17,109.97,111.24,108.45,110.04,5540200,107.09
2005-03-16,110.54,110.58,108.60,109.97,3160100,107.02
2005-03-15,111.70,111.90,110.43,110.54,3080300,107.57
2005-03-14,109.81,110.75,109.06,110.00,2701400,107.05
2005-03-11,111.34,111.55,108.91,109.55,2983800,106.61
2005-03-10,111.45,112.00,110.82,111.33,2430800,108.34
2005-03-09,112.50,112.50,110.82,110.87,2718500,107.89
2005-03-08,112.80,113.17,112.10,112.63,2702600,109.61
2005-03-07,111.95,113.12,111.53,112.80,2543300,109.77
2005-03-04,110.20,112.83,110.03,111.53,3103600,108.54
2005-03-03,110.40,110.86,109.00,109.41,2061300,106.47
2005-03-02,109.25,111.32,109.22,109.73,2217100,106.78
2005-03-01,108.39,110.76,108.39,110.02,2504400,107.07
2005-02-28,110.00,110.11,108.35,108.80,2650000,105.88
2005-02-25,108.73,110.25,108.53,110.10,2222200,107.14
2005-02-24,108.65,109.21,108.13,108.50,1995900,105.59
2005-02-23,108.62,109.41,108.17,109.11,2764100,106.18
2005-02-22,108.05,109.26,107.52,107.86,2515000,104.96
2005-02-18,110.65,110.80,108.60,109.00,3331900,106.07
2005-02-17,112.60,112.81,110.54,110.60,2349400,107.63
2005-02-16,112.35,112.62,111.61,112.27,2228800,109.26
2005-02-15,112.50,113.19,112.25,112.71,2459000,109.68
2005-02-14,112.78,113.38,111.69,111.97,2267900,108.96
2005-02-11,112.78,113.93,112.07,112.77,3942900,109.74
2005-02-10,111.80,112.98,111.75,112.77,3585900,109.74
2005-02-09,112.00,113.35,111.35,111.45,4589600,108.46
2005-02-08,109.97,111.93,109.91,111.55,4222400,108.56
2005-02-07,110.02,110.21,109.33,109.59,2684800,106.65
2005-02-04,108.74,110.33,108.71,110.02,3726700,107.07
2005-02-03,108.40,108.94,108.20,108.74,2933200,105.82
2005-02-02,108.15,108.97,107.99,108.59,2858400,105.67
2005-02-01,107.65,108.94,107.30,108.40,3369200,105.49
2005-01-31,107.38,107.97,107.15,107.85,3826500,104.95
2005-01-28,104.65,106.71,104.00,106.12,5854200,103.27
2005-01-27,103.37,104.34,103.01,104.00,3479100,101.21
2005-01-26,103.18,103.52,101.79,103.26,3979900,100.49
2005-01-25,104.10,104.70,102.61,102.86,3365000,100.10
2005-01-24,103.33,104.54,103.04,103.24,3895400,100.47
2005-01-21,103.20,104.54,102.79,103.33,4581000,100.56
